"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
6.212470400E-2,2.018820047E-1,-5.930280685E-1,3.508960247E0
6.714288100E-2,1.685038209E-1,-4.428129196E-1,2.883524418E0
7.216105800E-2,7.405316830E-2,-3.387765884E-1,2.382249355E0
7.717928700E-2,-1.036322713E-1,-2.386255264E-1,1.829883099E0
8.219746400E-2,-2.451045215E-1,-1.311359406E-1,1.344074726E0
8.735517200E-2,-3.587276936E-1,-2.527999878E-2,9.402611256E-1
9.237335000E-2,-3.521088362E-1,6.907272339E-2,5.241744518E-1
9.739157900E-2,-2.437785417E-1,1.552829742E-1,6.950449944E-2
1.024097560E-1,-1.403521597E-1,1.872911453E-1,-2.148754597E-1
1.074279330E-1,-7.920822501E-2,1.541814804E-1,-2.516303062E-1
1.124461100E-1,3.077960014E-2,1.311731339E-1,-1.194524765E-2
1.176164220E-1,1.878081262E-1,1.441202164E-1,2.423405647E-1
1.226346000E-1,3.865700960E-1,1.479387283E-1,3.491809368E-1
1.276528290E-1,5.496603251E-1,6.663513184E-2,3.760423660E-1
1.326710060E-1,5.988666415E-1,-1.643848419E-2,3.429787159E-1
1.376892350E-1,6.105596423E-1,-4.946422577E-2,3.183987141E-1
1.428352770E-1,5.659235716E-1,-7.824897766E-2,2.489655018E-1
1.478534540E-1,4.807025194E-1,-1.899862289E-1,1.574201584E-1
1.528716310E-1,4.246916771E-1,-2.716302872E-1,2.843785286E-1
1.578898080E-1,4.674663544E-1,-1.989746094E-1,5.274856091E-1
1.629080370E-1,4.764940739E-1,-1.389417648E-1,6.351873875E-1
1.679262140E-1,3.402836323E-1,-1.968011856E-1,7.288126945E-1
1.730663700E-1,6.364059448E-2,-2.645673752E-1,8.415193558E-1
1.780845470E-1,-2.858161926E-1,-2.984399796E-1,6.991791725E-1
1.831027250E-1,-4.759535491E-1,-3.803215027E-1,3.653490543E-1
1.881209020E-1,-5.524443388E-1,-4.947109222E-1,1.090195179E-1
1.931390790E-1,-5.726894140E-1,-5.017309189E-1,-3.392100334E-2
1.981573080E-1,-6.408017874E-1,-5.299434662E-1,-1.742506027E-1
2.031754330E-1,-4.768522680E-1,-5.972566605E-1,-2.172837257E-1
2.081936620E-1,-2.868086696E-1,-6.098337173E-1,-3.796887398E-2
