"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.152030156E0,6.505440008E1,2.546787868E1,1.030272670E1,2.450000048E0,2.629999924E1,2.034002113E1,3.336671448E1
1.842808697E0,6.505442641E1,2.546791013E1,2.291172879E1,9.300000072E-1,3.120000076E1,1.107050419E1,2.117164993E1
2.843880520E0,6.505443271E1,2.546787224E1,2.200571650E1,0.000000000E0,NaN,8.365971565E0,1.488010216E1
3.845750467E0,6.505441508E1,2.546789012E1,2.061033938E1,1.129999995E0,1.728999939E2,6.535315990E0,1.167056751E1
4.844800831E0,6.505441149E1,2.546788469E1,1.728294759E1,9.200000167E-1,1.730000000E2,5.317379475E0,9.414124489E0
5.845153539E0,6.505440009E1,2.546788960E1,1.675078694E1,1.409999967E0,1.863999939E2,4.739234924E0,8.342049599E0
6.844360362E0,6.505438963E1,2.546788568E1,1.496850291E1,1.360000014E0,1.828000031E2,4.447824955E0,7.772874355E0
7.844391143E0,6.505437625E1,2.546788663E1,1.521411358E1,1.399999976E0,1.798000031E2,4.170368195E0,7.228375912E0
8.845234267E0,6.505436343E1,2.546788877E1,1.496546147E1,1.409999967E0,1.785000000E2,4.067526817E0,6.984008789E0
9.843946507E0,6.505435094E1,2.546789183E1,1.546821314E1,1.379999995E0,1.758999939E2,4.021018982E0,6.877134800E0
1.084304822E1,6.505433929E1,2.546789183E1,1.543666241E1,1.330000043E0,1.838999939E2,3.813720226E0,6.223652363E0
1.184441348E1,6.505432678E1,2.546789123E1,1.538295618E1,1.389999986E0,1.828000031E2,3.790092468E0,5.696630478E0
1.284760484E1,6.505431402E1,2.546789049E1,1.520827835E1,1.389999986E0,1.831000061E2,3.790092468E0,5.497687817E0
1.384834130E1,6.505430142E1,2.546788730E1,1.520150791E1,1.379999995E0,1.881999969E2,3.790092468E0,5.133155346E0
1.484771177E1,6.505428900E1,2.546787974E1,1.501211976E1,1.379999995E0,1.926999969E2,3.790092468E0,5.006761074E0
1.584636541E1,6.505427681E1,2.546786559E1,1.482956675E1,1.399999976E0,2.038000031E2,3.790092468E0,4.832442760E0
1.684896130E1,6.505426684E1,2.546784283E1,1.440183376E1,1.320000052E0,2.178000031E2,3.790092468E0,4.730379105E0
1.784952630E1,6.505426172E1,2.546781041E1,1.329941528E1,1.340000033E0,2.436000061E2,3.790092468E0,4.499763966E0
1.884860004E1,6.505425778E1,2.546777688E1,1.303635169E1,1.320000052E0,2.438000031E2,3.790092468E0,4.289035797E0
1.984662385E1,6.505425245E1,2.546774457E1,1.285391621E1,1.340000033E0,2.465000000E2,3.790092468E0,4.051283836E0
2.084794817E1,6.505424992E1,2.546771005E1,1.291787836E1,1.350000024E0,2.602999878E2,3.790092468E0,3.962220430E0
2.184253374E1,6.505424986E1,2.546767532E1,1.158273065E1,1.419999957E0,2.677999878E2,3.790092468E0,3.897895575E0
2.284377478E1,6.505425077E1,2.546764293E1,1.170510235E1,1.379999995E0,2.721000061E2,3.790092468E0,3.694856882E0
2.384429707E1,6.505425197E1,2.546761341E1,1.147914660E1,1.360000014E0,2.732999878E2,3.790092468E0,3.605733871E0
